,0,1,2,3,4,5,6,7,8,9,10,11,12
97,89,"Ryan Willis, QB",KU,164,315,52.1,1719,5.5,53,9,10,31,101.0
98,90,"Blake Decker, QB",UNLV,120,209,57.4,1713,8.2,85,12,8,10,137.6
99,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
100,91,"Fredi Knighten, QB",ARST,122,223,54.7,1698,7.6,75,19,7,14,140.5
101,92,"Hayden Moore, QB",CIN,114,195,58.5,1683,8.6,68,9,8,13,138.0
102,93,"Tanner Lee, QB",TULN,143,276,51.8,1639,5.9,90,11,7,20,109.8
103,94,"Lamar Jackson, QB",LOU,123,221,55.7,1613,7.3,53,10,8,25,124.7
104,95,"Jaquez Johnson, QB",FAU,129,239,54.0,1592,6.7,94,9,7,17,116.5
105,96,"David Blough, QB",PUR,169,293,57.7,1574,5.4,83,10,8,19,108.6
106,97,"Max Wittek, QB",HAW,128,271,47.2,1542,5.7,79,7,15,22,92.5
107,98,"Johnny McCrary, QB",VAN,146,267,54.7,1533,5.7,44,6,12,19,101.3
108,99,"Treon Harris, QB",FLA,111,214,51.9,1530,7.2,66,9,5,28,121.1
109,100,"Maxwell Smith, QB",SDSU,110,200,55.0,1529,7.6,58,13,2,18,138.7
110,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
111,,"Andrew Allen, WR",NMSU,115,214,53.7,1529,7.1,76,16,8,18,131.0
112,102,"Kent Myers, QB",USU,107,179,59.8,1470,8.2,63,14,3,10,151.2
113,103,"Clayton Thorson, QB",NW,142,275,51.6,1465,5.3,66,7,7,18,99.7
114,104,"Cardale Jones, QB",OSU,110,176,62.5,1460,8.3,54,8,5,13,141.5
115,105,"Karson Roberts, QB",AFA,70,134,52.2,1446,10.8,75,9,10,2,150.1
116,106,"Sam B. Richardson, QB",ISU,128,213,60.1,1443,6.8,59,8,8,18,121.9
117,107,"Shuler Bentley, QB",ODU,140,269,52.0,1432,5.3,70,12,6,19,107.0
118,108,"Billy Bahl, QB",M-OH,99,221,44.8,1416,6.4,78,8,13,21,98.8
119,109,"Brooks Haack, QB",ULL,123,201,61.2,1407,7.0,64,5,7,14,121.2
120,110,"Justin Holman, QB",UCF,127,250,50.8,1379,5.5,46,7,14,10,95.2
121,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
122,111,"Michael Brewer, QB",VT,103,179,57.5,1359,7.6,71,12,6,18,136.7
123,112,"Dalton Sturm, QB",UTSA,125,212,59.0,1354,6.4,57,13,7,32,126.2
124,113,"Justin Thomas, QB",GT,75,180,41.7,1345,7.5,58,13,8,14,119.4
125,114,"Drew Lock, QB",MIZ,129,263,49.0,1332,5.1,78,4,8,25,90.5
126,115,"Eric Dungey, QB",SYR,105,176,59.7,1298,7.4,89,11,5,13,136.6
127,116,"Jarrett Stidham, QB",BAY,75,109,68.8,1265,11.6,81,12,2,9,199.0
128,117,"Austin Appleby, QB",PUR,119,207,57.5,1260,6.1,57,8,8,11,113.6
129,118,"Joel Lanning, QB",ISU,107,193,55.4,1247,6.5,74,10,4,24,122.7
130,119,"Mack Leftwich, QB",UTEP,105,192,54.7,1228,6.4,76,9,3,4,120.8
131,120,"Jerrod Heard, QB",TEX,92,159,57.9,1214,7.6,84,5,5,28,126.1
132,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
133,121,"Will Grier, QB",FLA,106,161,65.8,1204,7.5,77,10,3,13,145.4
134,122,"Brenden Motley, QB",VT,92,164,56.1,1155,7.0,61,11,7,16,128.9
135,,"David Washington, WR",ODU,94,161,58.4,1155,7.2,53,8,3,10,131.3
136,124,"Kyle Bolin, QB",LOU,78,137,56.9,1154,8.4,57,7,6,12,135.8
137,125,"Sean Maguire, QB",FSU,90,145,62.1,1128,7.8,75,9,2,5,145.1
138,126,"Sean White, QB",AUB,75,130,57.7,1064,8.2,47,1,2,10,125.9
139,127,"Jeremy Johnson, QB",AUB,94,156,60.3,1043,6.7,77,9,7,9,126.5
140,128,"DaMarcus Smith, QB",UNT,99,212,46.7,1010,4.8,61,8,5,12,94.5
141,129,"Perry Hills, QB",MD,90,180,50.0,1001,5.6,52,8,13,18,96.9
142,130,"Tyler Rogers, QB",NMSU,72,135,53.3,974,7.2,78,7,3,10,126.6
143,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
144,131,"Jason Driskel, QB",FAU,77,151,51.0,965,6.4,71,3,4,10,105.9
145,132,"Keenan Reynolds, QB",NAVY,46,84,54.8,964,11.5,75,6,1,14,172.4
146,133,"Lamar Jordan, QB",UNM,58,109,53.2,935,8.6,86,4,6,7,126.4
147,,"Seth Collins, QB",ORST,83,160,51.9,935,5.8,44,6,4,7,108.3
148,135,"Kendall Hinton, QB",WAKE,93,179,52.0,929,5.2,78,4,5,17,97.3
149,136,"Ikaika Woolsey, QB",HAW,73,149,49.0,908,6.1,77,5,6,9,103.2
150,137,"Colin Reardon, QB",KENT,81,176,46.0,901,5.1,58,7,4,4,97.6
151,138,"Ryan Metz, QB",UTEP,82,139,59.0,900,6.5,57,6,7,4,117.6
152,139,"Blake Bogenschutz, QB",UTSA,81,137,59.1,897,6.5,43,4,4,10,117.9
153,140,"Caleb Rowe, QB",MD,76,165,46.1,894,5.4,70,6,15,1,85.4
154,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
155,141,"Chuckie Keeton, QB",USU,90,174,51.7,892,5.1,58,3,6,6,93.6
156,142,"Drew Kummer, QB",M-OH,58,122,47.5,890,7.3,75,7,6,6,117.9
157,143,"Lee McNeill, QB",CHAR,100,189,52.9,878,4.6,37,1,10,18,83.1
158,144,"Zack Greenlee, QB",FRES,74,156,47.4,866,5.6,82,13,6,12,113.9
159,145,"Joe Gray, QB",SJSU,73,105,69.5,839,8.0,49,6,4,8,147.9
160,146,"Jalen Nixon, QB",ULL,76,142,53.5,828,5.8,49,7,5,3,111.7
161,147,"Andrew McNulty, QB",UNT,81,170,47.6,820,4.8,93,3,4,14,89.3
162,148,"Kilton Anderson, QB",FRES,78,157,49.7,817,5.2,43,2,5,12,91.2
163,149,"Kurt Palandech, QB",UNLV,75,152,49.3,794,5.2,49,9,5,23,106.2
164,150,"James Tabary, QB",ARST,65,105,61.9,788,7.5,49,4,6,10,126.1
165,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
166,151,"JD Sprague, QB",OHIO,49,87,56.3,785,9.0,65,7,1,4,156.4
167,152,"J.T. Barrett, QB",OSU,74,116,63.8,781,6.7,50,10,3,4,143.6
168,153,"Matt Johnson, QB",CHAR,47,87,54.0,771,8.9,63,7,8,6,136.6
169,154,"George Bollas, QB",KENT,94,167,56.3,756,4.5,45,2,6,9,91.1
170,155,"Montell Cozart, QB",KU,66,105,62.9,752,7.2,47,2,1,7,127.4
171,156,"Kyler Murray, QB",TA&M,72,121,59.5,686,5.7,26,5,7,8,109.2
172,157,"James Summers, QB",ECU,60,94,63.8,683,7.3,56,5,2,15,138.2
